epoch, loss, acc
0, 2.103203543232085, 0.383270911360799
1, 1.7808230978622432, 0.383270911360799
2, 1.2410472436943036, 0.40574282147315854
3, 0.8358021703165807, 0.7428214731585518
4, 0.6914935722153022, 0.7902621722846442
5, 0.6591335657218672, 0.7902621722846442
6, 0.6393709479665273, 0.7902621722846442
7, 0.6284816657714547, 0.7902621722846442
8, 0.6210671907148232, 0.7902621722846442
9, 0.6165742256848753, 0.7902621722846442
10, 0.6156672359563474, 0.7902621722846442
11, 0.6131201757521001, 0.7927590511860175
12, 0.6112216581471916, 0.7940074906367042
13, 0.6098101199057134, 0.7902621722846442
14, 0.6097257603720897, 0.7902621722846442
15, 0.6078282014077433, 0.7902621722846442
16, 0.6073011153595259, 0.7915106117353309
17, 0.608547134257102, 0.7902621722846442
18, 0.6058489586522112, 0.7902621722846442
19, 0.6045090727273663, 0.7940074906367042
0, 2.108085671169416, 0.383270911360799
1, 1.794664196744308, 0.3807740324594257
2, 1.264882760406506, 0.39575530586766544
3, 0.879137614532907, 0.682896379525593
4, 0.752841397061162, 0.7128589263420724
5, 0.694552455160555, 0.8014981273408239
