epoch, loss, acc
0, 2.2407045945987916, 0.383270911360799
1, 1.7983165629404005, 0.383270911360799
2, 1.2750805857713863, 0.383270911360799
3, 1.021734141555092, 0.383270911360799
4, 0.9640776235165827, 0.383270911360799
5, 0.9516759704961093, 0.383270911360799
6, 0.9399222057995871, 0.383270911360799
7, 0.9219903664430761, 0.42197253433208487
8, 0.9028369230405794, 0.42197253433208487
9, 0.8868175887739218, 0.4818976279650437
10, 0.8771850124324116, 0.7540574282147315
11, 0.8702982870103196, 0.7515605493133583
12, 0.8597854649517821, 0.7440699126092385
13, 0.8492799097455032, 0.7553058676654182
14, 0.828532328146304, 0.7890137328339576
15, 0.7935470425970866, 0.7927590511860175
16, 0.7528154545839877, 0.7902621722846442
17, 0.7253229317516674, 0.7290886392009988
18, 0.7148145203877121, 0.7203495630461922
19, 0.7063319941520693, 0.7203495630461922
