epoch, loss, acc
0, 2.0519480790486213, 0.383270911360799
1, 1.4699321927831546, 0.37203495630461925
2, 0.992267275130854, 0.5230961298377028
3, 0.7987474051824861, 0.766541822721598
4, 0.7264645653346171, 0.787765293383271
5, 0.6786796423979168, 0.7902621722846442
6, 0.6559333313482454, 0.7902621722846442
7, 0.645749906832364, 0.7902621722846442
8, 0.6408026036796932, 0.7902621722846442
9, 0.639716554892136, 0.7902621722846442
10, 0.6353981054049017, 0.7902621722846442
11, 0.6300906374351228, 0.7902621722846442
12, 0.6307733756926802, 0.7902621722846442
13, 0.628701333266508, 0.7902621722846442
14, 0.6256721899590475, 0.7902621722846442
15, 0.6274294460051001, 0.7902621722846442
16, 0.6270919002646642, 0.7902621722846442
17, 0.629430497864968, 0.7902621722846442
18, 0.6258464439709337, 0.7902621722846442
19, 0.624787194992372, 0.7902621722846442
