epoch, loss, acc
0, 2.1143841705484383, 0.383270911360799
1, 1.8103868263114562, 0.383270911360799
2, 1.2835488792533125, 0.3945068664169788
3, 0.9017020854441277, 0.6454431960049938
4, 0.7481546909410711, 0.7540574282147315
5, 0.6847130730426106, 0.7890137328339576
6, 0.6617344033465898, 0.7852684144818977
7, 0.650983919233764, 0.7915106117353309
8, 0.6417496481106334, 0.7915106117353309
9, 0.6337754605525536, 0.7902621722846442
10, 0.6289870226339254, 0.7902621722846442
11, 0.6223086311764653, 0.7902621722846442
12, 0.6204514757102464, 0.7902621722846442
13, 0.6155896619362544, 0.7902621722846442
14, 0.6165716743168481, 0.7940074906367042
15, 0.6150178629464608, 0.7902621722846442
16, 0.6114400425784084, 0.7902621722846442
17, 0.6105467701744117, 0.7927590511860175
18, 0.6099644267495584, 0.7902621722846442
19, 0.6057403751533891, 0.7902621722846442
