epoch, loss, acc
0, 2.154541418839372, 0.383270911360799
1, 2.1462783241848697, 0.383270911360799
2, 2.131442598669149, 0.383270911360799
3, 2.1095314822070375, 0.383270911360799
4, 2.0802187125727456, 0.383270911360799
5, 2.043322738639574, 0.383270911360799
6, 1.9989225129493464, 0.383270911360799
7, 1.9471950034839398, 0.383270911360799
8, 1.8886691347746951, 0.383270911360799
9, 1.8242093126780798, 0.383270911360799
10, 1.7548682759342746, 0.383270911360799
11, 1.6816574210069155, 0.383270911360799
12, 1.6052703126672774, 0.383270911360799
13, 1.5265288341439684, 0.37453183520599254
14, 1.4467517985974556, 0.37453183520599254
15, 1.3674841735456669, 0.3732833957553059
16, 1.2901752753014881, 0.3620474406991261
17, 1.216102664099836, 0.4581772784019975
18, 1.1463426577609304, 0.4581772784019975
19, 1.081584263968386, 0.46941323345817726
