epoch, loss, acc, gpu_util, mem_util
0, 2.097049264984751, 0.383270911360799, 10, 0
1, 1.74665887810685, 0.383270911360799, 10, 0
2, 1.1871591538236665, 0.40574282147315854, 14, 0
3, 0.8134865971942993, 0.7191011235955056, 14, 0
4, 0.6793634170506992, 0.787765293383271, 13, 0
5, 0.6488775875889026, 0.7927590511860175, 9, 0
6, 0.6389305484207095, 0.7915106117353309, 13, 0
7, 0.632224886958972, 0.7865168539325843, 10, 0
8, 0.6223625635687331, 0.7915106117353309, 14, 0
9, 0.6194032441676118, 0.7902621722846442, 9, 0
10, 0.6191942777295207, 0.7902621722846442, 14, 0
11, 0.6152234837781856, 0.7902621722846442, 12, 0
12, 0.6192633310635941, 0.7752808988764045, 13, 0
13, 0.6193746753826086, 0.7927590511860175, 14, 0
14, 0.6135573962208694, 0.7902621722846442, 8, 0
15, 0.6192795896645162, 0.8002496878901373, 10, 0
16, 0.6123810817143459, 0.7902621722846442, 14, 0
17, 0.6125720399302355, 0.7902621722846442, 8, 0
18, 0.6146998405475399, 0.7915106117353309, 14, 0
19, 0.610336130933964, 0.7902621722846442, 14, 0
