epoch, loss, acc, gpu_util, mem_util
0, 1.9991747155408095, 0.38202247191011235, 10, 0
1, 1.4329922913399886, 0.36329588014981273, 12, 0
2, 0.8814441617542836, 0.6841448189762797, 14, 0
3, 0.7342203450904625, 0.7265917602996255, 14, 0
4, 0.6688752064889527, 0.787765293383271, 13, 0
5, 0.6532370908218968, 0.7902621722846442, 10, 0
6, 0.6419730347314226, 0.7902621722846442, 12, 0
7, 0.6327500279932223, 0.7902621722846442, 5, 0
8, 0.6270129008075901, 0.7902621722846442, 13, 0
9, 0.6228489730723695, 0.7902621722846442, 10, 0
10, 0.6193849128245658, 0.7902621722846442, 12, 0
11, 0.6163427041398576, 0.7902621722846442, 9, 0
12, 0.6155953477725902, 0.7902621722846442, 13, 0
13, 0.612083618192376, 0.7902621722846442, 9, 0
14, 0.6127699599405385, 0.7902621722846442, 10, 0
15, 0.6110072322511269, 0.7927590511860175, 14, 0
16, 0.6102996353517361, 0.7902621722846442, 10, 0
17, 0.6112187539182388, 0.7902621722846442, 13, 0
18, 0.6061512099453613, 0.7902621722846442, 10, 0
19, 0.604716160658322, 0.7902621722846442, 14, 0
